Position,Bill,LastName,FirstName,Role,Organization,City,State
On,SB 1,Woodruff,Trevor,Commissioner,DFPS,Austin,TX
On,SB 1,Blackmore,Lynn,DFPS,,,
On,SB 1,Repp,David,Staff,HHSC Inspector General,,
For,SB 1,Barillas,Dr. Katherine,Policy,One Voice Texas,,
For,SB 1,Booker,Dana,Research,TexProtects,,
For,SB 1,Bramlett,Anne,consumer,my Son and others with IDD,Farmersville,TX
For,SB 1,Brower,Pamela L.,guardian,Self,,
For,SB 1,Carson,Wayne,CEO,ACH & Texas Alliance of Child & Family Services,,
For,SB 1,Conner,Patty,Violence,,,
For,SB 1,Cortes,Angel,Liaison,also providing written testimony)  (Self,Austin,TX
For,SB 1,Cundall,Mark,,Self,,
For,SB 1,Darby,Karen S.,Educator,Texans focus on Children,Georgetown,TX
For,SB 1,Granberry,Amy,Recovery,,,
For,SB 1,Halgrimson,James,Psychiatrist,Myself & Texas Medical Association,Austin,TX
For,SB 1,Hansford,Michelle,Fellow,One Voice Texas,,
For,SB 1,Hartman,Marilyn,Advocate,people with mental illness,,
For,SB 1,Homer,Andrew,Director,TEXAS CASA,,
For,SB 1,Hurt,Rick,INSTRUCTOR,Reach Unlimited,,
For,SB 1,Kampfschulte,Jenna,Mother,Myself & Texas families,,
For,SB 1,families) LeBlanc,Lisa,,Self,Austin,TX
For,SB 1,McCann,Gabriela O.,HOMEMAKER,"Myself, my son, my family & people with disabilities",Bulverde,TX
For,SB 1,Meyer,Bridgette,provider,nurses children,,
For,SB 1,Murphy,Amelia,SVCS,"Santa Maria Hostel, INC",,
For,SB 1,Patel,Dimple,Analyst,TexProtects,Dallas,TX
For,SB 1,Patterson,James,Commissioner,The Arc of Ft. Bond & my son,,
For,SB 1,Rauls,Joy,Director,,Austin,TX
For,SB 1,Rodriguez,Annette,,San Antonio Children's Shelter & Texas Alliance of Child & Family Services,,
For,SB 1,Services) Sage,Michelle,homemaker,Texans Focus on Children,Round Rock,TX
For,SB 1,Setliff,Aaron,Attorney,TX Council on Family Violence,Austin,TX
For,SB 1,Singleton,Richard,Director,"STARRY, Inc.",Round Rock,TX
For,SB 1,Stallings,Kellie,Services,Connections Individual and Family Services,New Braunfels,TX
For,SB 1,Swords,Patricia,providing written testimony),My organization,Angleton,TX
For,SB 1,Travis,Jamie,,Self,,
For,SB 1,White,Angela,CEO,Alpha Home,,
For,SB 1,Wilson,Dennis D.,County,,,
For,SB 1,Groesbeck Woodruff,Caryl,Teacher,Self,Richmond,TX
For,SB 1,Wright,Courtney,Center,Self,Round Rock,TX
Against,SB 1,Bradshaw,Robin,Chargers,Texas Chargers & my daughter,RR,TX
Against,SB 1,Brown,Crystal Lee,child,,,
Against,SB 1,Carroll,Lisa,,I want Medicade to pay for ABA,,
Against,SB 1,Chandler,Charlotte,Administration,patients of Circle of Care,SA,TX
Against,SB 1,Collins,Jennifer,researcher,Self,,
Against,SB 1,Contreras,Brenda,unemployed,parents/ therapist,Houston,TX
Against,SB 1,Cornejo,Sergio,Worker,Gavin E. Cornejo,Friendwood,TX
Against,SB 1,Cross,Angie,therapist,Texas Kids Home Therapy & Nursing,,
Against,SB 1,,,,Self,,
Against,SB 1,Frugia,Michelle,mom,Circle of Care),,
Against,SB 1,Greenman,Sarah,President,also providing written testimony,,
Against,SB 1,,,,,,
Against,SB 1,Harris,Rachel,Specialist,,,
Against,SB 1,,,,,,
Against,SB 1,Hernandez,Blakley,Empoyeed,Eric Reid Hernandez (son),Arlington,TX
Against,SB 1,Jackson,Victoria L.,Health,Kids Care Therapy,Addison,TX
Against,SB 1,Kurtz,Dershie,therapist,,,
Against,SB 1,McKay,Kyla,parent,my family,Pasadena,TX
Against,SB 1,McPhail,Jennifer,Organizer,ADAPT of Texas,Austin,TX
Against,SB 1,Mehta,Hannah,Elizabeth   Caregiver,"Protect TX Fragile Kids) Ortiz, Elizabeth   Caregiver  (Kids Developmental Clinic",Friendswood,TX
Against,SB 1,Reyes,Mayra,mom,Any Baby Can,,
Against,SB 1,Schanbaum,Jamie,Dervvon,,,
Against,SB 1,Schanbaum,Patsy,Group,,,
Against,SB 1,Smith,Donna S.,Services,"Independent, private practitioners",,
Against,SB 1,,,,"Independent, private practitioners), Austin Smith, June   Vice President  (Jordan Health Services",Austin Smith,"June   Vice President  (Jordan Health Services), McKinney, TX"
Against,SB 1,Telge,Judy,Living,also providing written testimony,,
Against,SB 1,,,,Self,SA,TX
Against,SB 1,Trigg,Adrienne,fragile,my 7 yr old child - MDCP,Austin,TX
Against,SB 1,Vela,Carlos,Ambassader,ACSCAN,,
On,SB 1,Abdullalh,Haseeb,Attorney,Self,,
On,SB 1,Abshier,Stephen,Services,also providing written testimony,,
On,SB 1,,,,Outreach Health Service & Home Care Industry,,
On,SB 1,Aldridge,Cullen,Client,Self,,
On,SB 1,Aleman,Steven,specialist,Disability Rights Texas,Austin,TX
On,SB 1,Bakiris,Tsambika,Therapies,also providing written testimony)  (Sonrisas Therapies,Austin,TX
On,SB 1,Barrington,Beverly,Self-employed,The Austin SSLC Family Guardian Assoc. and all TX SSLCs,,
On,SB 1,Bassett,Lisa,Retired,,,
On,SB 1,Bearden,Chase,Advocacy,,,
On,SB 1,Beeson,Jeff,Director,,,
On,SB 1,,,,Texas State Independent Living Council,Austin,TX
On,SB 1,Boleware,Alison Mohr,Fellow,Hogg Foundation for Mental Health,,
On,SB 1,Borel,Dennis,Director,Coalition of Texans with Disabilities,,
On,SB 1,Botello,Chris,,Texas Advocates,,
On,SB 1,Boyd,Roy,Officer,Victoria County Sheriff's Office,Victoria,TX
On,SB 1,Brisette,Patrick,TX,Self & organization,Austin,TX
On,SB 1,Catoe,Ellen,Analyst,Texana Center,Rosenberg,TX
On,SB 1,Clapsaddle,Kathryn,Therapist,THERAPY 2000,,
On,SB 1,Colson,Andy,Reach,Self,,
On,SB 1,Cooper,Rachel,Priorities,also providing written testimony) (Self,Austin,TX
On,SB 1,Cranston,Cathy,Advocate,Personal Attendant Coalition of Texas,,
On,SB 1,Cranston,Ron,,Self,,
On,SB 1,Crockett,Sarah,,Texas CASA,,
On,SB 1,Darby,Kelly,maker,,,
On,SB 1,DeForest,"DO, Dr. Patricia",Physician,,,
On,SB 1,,,,"Texas Pediatric Society, Texas Medical Association, Texas Association of Family Physicions",San Antonio,TX
On,SB 1,Dillen,Jeffrey,Analyst,Texana Center,Rosenberg,TX
On,SB 1,Dooley,Michelle,NOW!,Morgan Dooley,,
On,SB 1,Dowell,Susan M.,Lifeworks,Self,,
On,SB 1,Drake,John M.,Livingston,Sully Drake,Livingston,TX
On,SB 1,Drake,Rachel Slocomb,admin,My daughter Sully Drake,Livingston,TX
On,SB 1,Dudensing,Jamie,Plans,Tx Association of Health Plans,,
On,SB 1,Dunkelberg,Anne,Director,Center for Public Policy Priorities,,
On,SB 1,Dupuie,Dena,,"foster children) Falkinburg, Kimber   Peer Recovery Supports  (Spread Hope Like Fire",Lubbock,TX
On,SB 1,Floyd,Barry,Director,The Center on Independent Living,Nacogdoches,SA
On,SB 1,Francis,Will,Worker,Nat'l Association of Social Workers- Texas Chapter,,
On,SB 1,Fredriksen,Amanda,Outreach,AARP,,
On,SB 1,,,,"AARP) Gendron, Christine   Executive Director  (Texas Network of Youth Services",Austin,TX
On,SB 1,Gibson,Nancy,,Reach Unlimited,,
On,SB 1,Groff,Amanda,Jennifer   parent,"Reach Unlimited) Hall, Jennifer   parent  (Protect TX Fragile Kids",Grapevine,TX
On,SB 1,Hammon,Rachel,Director,Texas Association for Home Care and Hospice,Austin,TX
On,SB 1,Hannah,Kyle,Concepts,Self,Keene,TX
On,SB 1,Hansch,Greg,Director,National Alliance on Mental Illness (NAMI) Texas,,
On,SB 1,Harrison,Madeleine,John,"Protect TX Fragile Kids), Plano Hawkins, John    (Texas Hospital Assn.",Plano Hawkins,"John    (Texas Hospital Assn.), Austin, TX"
On,SB 1,Hernandez,Richard,Relations,"Rescare, Inc.",,
On,SB 1,Hidalgo,Gary R.,Beaumont,The Arc of Texas Governmental Affairs Committee,,
On,SB 1,Hillger,Justin,Therapy,Angels of Care Pediatric Home Health,Shermon,TX
On,SB 1,Hiner,Harrison,Director,Texas State Employees Union,Austin,TX
On,SB 1,Hoffpauir,Robin,Attendant,P.A.C.T./ ADAPT,Austin,TX
On,SB 1,Horton,Colleen,Officer,Hogg Foundation for Mental Health,,
On,SB 1,Huang,"MD, MPH, Philip",Health,"TMA, TPS, TAFP, ACOG, TPHC, TAOG, FTP, TACCHO",Austin,TX
On,SB 1,Hughes,Carla,Inc.,Intellectual Disabilities Individuals,Ama,TX
On,SB 1,Jesse,Gary,Services,Health and Human Services Commission,Austin,TX
On,SB 1,Johnson,Wayne,Coach,Communities for Recovery,Austin,TX
On,SB 1,Kafka,Bob,Organizer,ADAPT of Texas,,
On,SB 1,,,,Texans Standing Tall,,
On,SB 1,Kohler,Adriana,Associate,Texans Care for Children,,
On,SB 1,,,,Leading Ace Texas,Astn,TX
On,SB 1,Litzinger,Amy,specialist,,,
On,SB 1,Litzinger,Linda,parent,Self,,
On,SB 1,Lofton,Keith,Anttendant,ADAPT,,
On,SB 1,Logan,Brandon,Policy,Texas Public Policy Foundation,,
On,SB 1,Londono,Maria G.,Guardian,self & my daughters,Austin,TX
On,SB 1,Louderback,AJ,Sheriff,Fight Crime! Invest in Kids,,
On,SB 1,Massie,Kathy,Pathologist,Countryside Therapy Group,Stephenville,TX
On,SB 1,McClure,Madeline,CEO,"Tex Protects, the Texas Association for the Protection of Children & Prevent Child Abuse Texas",Dallas,TX
On,SB 1,Meadours,James,,"Self) Metz, Albert (Sparky)    (ADAPT",Austin,TX
On,SB 1,Mills,Sarah,Relations,Texas Association for Home Care and Hospice,Austin,TX
On,SB 1,Montalbo,Melissa,therapist,Myself and Texana Center,Sugarland,TX
On,SB 1,Montgomery,Laura,Therapist,Countryside Therapy Group,Stephenville,TX
On,SB 1,Morsi,Tamer,Lawyer,my child,San Antonio,TX
On,SB 1,Murphree,Susan,Specialist,Disability Rights Texas,,
On,SB 1,Murphy,Kate,Associate,Texans Care for Children,Austin,TX
On,SB 1,Osburn,Ellen,Owner,,,
On,SB 1,Payne,Susan,,,,
On,SB 1,Piccola,Kyle,Officer,The Arc of Texas,,
On,SB 1,,,,"The Arc of Texas) Powell, Judy   Parent Advocate  (Parent Guidance Center",Austin,TX
On,SB 1,Prescott,Jeanie,Housewife,,,
On,SB 1,Ramshort,"MD, Ryan Van",Pediatrician,"Texas Medical Assn., Texas Pediatric Society, ACOG, TAOG, TAFP, TFP",San Antonio,TX
On,SB 1,Rash,Rose,Owner,,,
On,SB 1,Realini,Janet,Physician,Texas Women's Healthcare Coalition,San Antonio,TX
On,SB 1,Reddam,Cassie,,,,
On,SB 1,Reddam,Lisa,merchandiser,The Arc of the Hill Country,New Braunfels,TX
On,SB 1,Reed,Randy,Supports,Spread Hope like Fire,Warm Spicewood,TX
On,SB 1,Riley,Jennifer,therapy,Sage Care Therapy,,
On,SB 1,Ritter,Tony,Services,Self,,
On,SB 1,Robinson,Kristen,Affairs,Angels of Care Pediatric Home Health,Sherman,TX
On,SB 1,Robinson,Kristy   The Hoglund foundation  (also providing written testimony),foundation,The Hoglund foundation,,
On,SB 1,Rosales-Elkins,Deborah,Fellow,National Alliance on Mental Illness- Texas,Manor,TX
On,SB 1,Roush,Alphie Hernandez,Robert,Robert Roush,Houston,TX
On,SB 1,Roush,Robert,,Self,Katy,TX
On,SB 1,Rubin,Melanie,Alliance,Dallas Early Ed. Alliance,Dallas,TX
On,SB 1,Saenz,Danny,Organizer,ADAPT/ PACT,,
On,SB 1,Salovitz,Heiwa,Organizer,ADAPT of Texas,,
On,SB 1,Saxton,Josette,Director,,,
On,SB 1,Schmiedel,Marilyn,(Parent),Self,,
On,SB 1,Sheffield,Austin,Mentis,Texas Brain Injury Providers Alliance,Austin,TX
On,SB 1,Singleton,Betsy,Glendell   Retired,"Texas Impact) Smith, Glendell   Retired  (My Daughter",Weatherford,TX
On,SB 1,Smith,Reginald D.,Fellow,Communities for Recovery,Austin,TX
On,SB 1,Som,Sumit,Physician,ACS/ CAN,,
On,SB 1,Spiller,Lee,director,Citizens Commission on Human Rights. Texas,Austin,TX
On,SB 1,Stahmer,Denise,Therapist,MedCare Pediatric Group,Stafford,TX
On,SB 1,Stone,Dylan,employed,Myself- client at Reach,,
On,SB 1,Switzer,Gyl,Director,,Austin,TX
On,SB 1,Taylor,Latasha,Organizer,Self,,
On,SB 1,Thorne,Richard,Companies,,,
On,SB 1,Tunnell,Jeffrey,Director,Gulf Bend Center,Victoria,TX
On,SB 1,Valadez,Dr.,Plan,First Care Health Plan,,
On,SB 1,,,,also providing written testimony)  (Self,Dallas Wallace,"Ashley   Self-employed  (Justin Wallace & SSLC), Georgetown, TX"
On,SB 1,Wallace,Stephen,Wallace,Justin Wallace (son & ward),Red Rock,TX
On,SB 1,Warren,Kevin,Care,Texas Health Care Association,,
